epoch,loss,accuracy
0,0.17168182370477278,1.0
682,0.3325966100253591,1.0
1245,0.34304719914554493,1.0
1784,0.3435553369099137,1.0
2481,0.3413044810402023,1.0
3625,0.33119477060375097,1.0
4669,0.31299380154490386,1.0
5918,0.2816955753854715,1.0
7066,0.24972348138404069,1.0
8379,0.2150616457613003,1.0
9293,0.19318511037073935,1.0
10242,0.17240990428943162,1.0
11476,0.14806406546820214,1.0
12703,0.1266652237334501,1.0
13885,0.1086739120126283,1.0
15212,0.09149443954105346,1.0
16372,0.07893268546843298,1.0
17364,0.0698206864994965,1.0
18399,0.0617142264809895,1.0
19683,0.05334322485865864,1.0
20985,0.046417542035533575,1.0
22223,0.04100081502072707,1.0
23333,0.03692348993837173,1.0
24597,0.033004748211351444,1.0
25837,0.029767318170966495,1.0
27015,0.027142775330535454,1.0
28280,0.02472338291075302,1.0
29585,0.022581846539548894,1.0
30897,0.02072578728582307,1.0
31986,0.01937324990839432,1.0
33227,0.018006668041639654,1.0
34509,0.016760589331973712,1.0
35745,0.015694213921857717,1.0
37003,0.014724763273984117,1.0
38308,0.013824900360334477,1.0
39604,0.013022873265709193,1.0
40578,0.012472573903066905,1.0
41883,0.011797174883731434,1.0
43222,0.011169059962357505,1.0
44305,0.010703340052400628,1.0
45553,0.010208222060509834,1.0
46799,0.009753494300605466,1.0
48034,0.009337559572845733,1.0
49295,0.00894479518950076,1.0
50575,0.00857567012059425,1.0
51870,0.00822941187405875,1.0
53191,0.00790152918929975,1.0
54474,0.0076051522365345355,1.0
55759,0.007328031378851875,1.0
57119,0.007054213556324937,1.0
58189,0.006851638525546666,1.0
59415,0.006632285068835175,1.0
60553,0.006439932847020256,1.0
61741,0.006249795514241462,1.0
62977,0.006062662784140449,1.0
64336,0.005868498410420814,1.0
65542,0.005705575037834154,1.0
66781,0.005546685846483127,1.0
68020,0.005395786481095526,1.0
69230,0.0052555884046453635,1.0
70405,0.005125766390809508,1.0
71449,0.005015314054116195,1.0
72442,0.004914283840646405,1.0
73518,0.00480899533254815,1.0
74244,0.004740294156687053,1.0
74939,0.004676215663320893,1.0
75615,0.004615416897429249,1.0
76738,0.004517605588387564,1.0
77635,0.004442210993161753,1.0
78413,0.0043786931180121195,1.0
79638,0.00428204483673934,1.0
80692,0.004202020405138567,1.0
81994,0.004106942925747568,1.0
83233,0.004020127444518659,1.0
84313,0.003947205928753452,1.0
85561,0.0038659650186111437,1.0
86822,0.003786997835625745,1.0
88155,0.003706743266895945,1.0
89424,0.0036332500018315225,1.0
90516,0.00357216124799917,1.0
91531,0.003517083401251193,1.0
92766,0.0034521803996086786,1.0
93938,0.003392635134900088,1.0
95108,0.0033350859709664954,1.0
96372,0.003274940727057035,1.0
97667,0.003215400236416414,1.0
98804,0.003164778682942453,1.0
99999,0.0031131670360518347,1.0
